Red,Green,Blue,Yellow
9,9,9,9
23,22,23,22
34,33,32,33
42,41,43,45
52,48,51,57
65,51,61,71
74,60,71,81
86,69,80,85
90,75,87,91
99,81,92,98
106,89,98,101
111,96,103,106
114,98,107,114
116,101,112,118
122,103,118,126
126,111,123,130
126,118,127,137
131,123,134,143
136,133,139,146
136,141,147,149
142,144,154,149
143,150,157,151
144,157,156,159
145,163,159,165
149,170,162,169
154,176,170,171
160,181,170,178
168,183,177,183
169,194,182,186
180,196,187,187
186,202,189,187
189,204,198,189
194,212,197,198
197,219,194,205
203,223,189,211
206,227,194,213
208,231,195,219
212,233,199,228
216,240,204,231
217,241,210,234
217,246,211,237
225,248,208,240
225,256,207,249
237,256,209,252
243,256,218,252
245,259,217,259
247,264,221,262
254,266,223,273
259,277,227,277
267,287,226,281
274,288,231,286
278,293,233,294
282,296,234,301
293,300,230,309
293,302,231,317
295,305,235,322
303,309,237,322
308,313,238,327
308,320,245,327
307,327,248,331
313,338,249,332
314,342,250,339
315,345,256,338
321,349,249,347
325,353,249,354
332,356,247,362
336,356,246,371
336,362,250,372
338,368,256,373
337,378,260,375
341,383,266,375
342,381,271,379
339,381,276,388
344,383,279,390
345,385,283,399
349,386,283,405
353,388,283,413
349,394,290,417
346,397,295,420
350,401,292,426
358,400,297,429
368,397,299,432
370,401,305,432
374,405,306,434
381,405,307,437
393,404,306,439
396,410,307,441
403,413,307,443
404,417,308,446
403,424,313,451
409,427,318,449
409,431,327,445
406,433,335,449
412,437,342,445
417,444,344,444
421,445,348,449
423,452,352,448
421,460,361,444
422,463,365,447
425,468,365,455
426,475,367,458
430,475,370,461
433,476,372,466
431,481,373,466
434,480,380,469
434,485,381,468
433,493,381,469
435,490,385,473
436,495,387,474
439,498,389,475
445,497,388,479
450,501,389,484
452,505,394,484
455,502,404,484
461,500,402,489
461,503,401,494
462,506,405,494
464,513,409,490
461,516,418,489
457,517,427,489
457,515,431,494
458,516,433,496
463,516,435,493
461,518,440,492
457,520,443,493
456,523,444,495
459,525,444,498
462,527,447,494
464,527,453,491
467,531,454,492
471,531,456,491
475,533,454,494
481,529,456,495
487,528,457,499
498,523,457,502
502,525,461,500
508,522,468,496
511,519,468,498
518,523,473,489
520,531,473,485
525,528,469,495
527,535,470,497
533,536,469,501
532,541,475,499
530,546,477,502
532,551,476,504
536,549,480,507
537,552,489,502
541,548,492,503
542,553,493,504
540,555,495,505
538,559,497,507
538,557,500,508
546,554,499,512
549,557,498,515
548,561,501,514
